id,eje,subfila_de,indicador,escala,base_anio,base_anio_texto,base_valor,meta_2015,meta_2020,meta_2025,meta_2030,anios_sin_meta_numerica
2.22·Femenino,2,2.22,Femenino,sin_meta,,1997- 2007,34.0,,,,,
2.23,2,,Tasa de mortalidad materna,numerica,,1997- 2007,159.0,96.2,72.0,51.5,31.0,
2.24,2,,Tasa de mortalidad asociada a malaria,numerica,2010,,0.14,0.1,0.0,0.0,0.0,
2.24·Masculino,2,2.24,Masculino,sin_meta,2010,,0.1,,,,,
2.24·Femenino,2,2.24,Femenino,sin_meta,2010,,0.18,,,,,
2.25,2,,Tasa de mortalidad asociada a tuberculosis,numerica,2009,,1.2,0.5,0.0,0.0,0.0,
2.25·Masculino,2,2.25,Masculino,sin_meta,2009,,1.5,,,,,
2.25·Femenino,2,2.25,Femenino,sin_meta,2009,,0.8,,,,,
2.26,2,,Tasa de letalidad asociada al dengue,umbral,2010,,4.4,4.4,< 2.0,< 2.0,< 2.0,
2.26·Masculino,2,2.26,Masculino,sin_meta,2010,,3.0,,,,,
2.26·Femenino,2,2.26,Femenino,sin_meta,2010,,5.9,,,,,
2.27,2,,Proporción de la población que no alcanza el mínimo de energía alimentaria,numerica,2005,,21.0,16.0,13.5,6.8,0.0,
